directorio,secuencia_p,orden,age,parentesco,p6210,other_job,sex,estrato1,cotPension,regSalud,cuentaPropia,formal,hoursWorkUsual,ocu,oficio,firm_time,sizeFirm,wage,iof1,iof2,iof6,age2,ln_wage
4514375,1,1,53,1,5,2,0,2,1,1,0,1,48,1,45,112,5,5833.33349609375,0,0,0,2809,8.67134389914528
4514375,1,2,23,3,6,2,0,2,1,1,0,1,48,1,39,8,5,7291.66650390625,0,0,0,529,8.89448740023628
4514376,1,1,41,1,5,2,1,2,1,1,0,1,49,1,55,2,3,3512.93798828125,0,0,0,1681,8.16420800004093
4514377,1,1,32,1,5,2,0,2,2,1,0,0,48,1,32,5,5,3586.12426757812,0,0,0,1024,8.18482730710011
4514378,1,1,62,1,3,2,1,2,2,3,0,0,84,1,39,1,2,3333.33325195312,0,0,0,3844,8.11172805889401
4514379,1,1,24,1,6,2,1,2,1,1,0,1,48,1,84,1,5,6805.5556640625,0,0,0,576,8.82549456701463
4514380,1,2,43,2,6,2,0,3,1,2,0,1,30,1,13,144,5,21777.77734375,0,0,0,1849,9.98864534094659
4514380,1,1,55,1,6,2,1,3,1,2,0,1,30,1,13,144,5,20222.22265625,0,0,0,3025,9.91453741018563
4514381,1,1,73,1,3,2,0,2,1,1,0,1,40,1,54,96,1,4303.34912109375,0,0,4e+05,5329,8.36714886389406
4514382,1,2,51,3,4,2,1,2,2,3,0,0,48,1,93,60,2,4861.111328125,0,0,0,2601,8.4890223590924
4514382,1,1,76,1,3,2,0,2,2,3,1,0,30,1,79,360,1,,0,0,0,5776,
4514383,1,3,47,3,5,2,1,3,2,3,1,0,60,1,45,120,1,,0,0,0,2209,
4514384,1,3,56,3,5,2,0,3,2,1,1,0,8,1,54,6,1,,0,0,6e+05,3136,
4514384,1,8,47,3,5,2,0,3,1,1,0,1,48,1,97,108,5,3586.12426757812,0,0,0,2209,8.18482730710011
4514384,1,6,29,4,5,2,0,3,1,1,0,1,40,1,39,14,4,5250,0,0,0,841,8.56598335558567
4514385,1,1,52,1,5,2,0,3,2,1,0,0,54,1,57,300,2,,0,0,0,2704,
4514387,1,1,63,1,5,2,1,3,2,1,0,0,48,1,84,420,2,,16666.6666666667,0,1200000,3969,
4514387,1,3,25,6,5,2,0,3,1,1,0,1,60,1,54,48,1,2430.5556640625,0,0,0,625,7.79587517853245
4514387,2,1,32,1,6,2,1,3,1,1,1,1,50,1,18,36,1,,0,0,0,1024,
4514388,1,2,24,2,5,2,0,3,1,1,0,1,48,1,58,24,5,3796.52783203125,0,0,0,576,8.24184219959738
4514388,1,1,27,1,5,2,1,3,1,1,0,1,48,1,58,24,5,3796.52783203125,0,0,0,729,8.24184219959738
4514389,1,2,63,2,3,2,0,3,2,3,1,0,60,1,41,300,2,,0,0,0,3969,
4514389,1,1,71,1,3,2,1,3,2,3,1,0,60,1,41,300,2,,0,0,5e+05,5041,
4514390,1,1,52,1,6,2,1,4,1,1,0,1,45,1,2,174,5,38888.890625,0,0,2200000,2704,10.5684639007722
4514390,1,2,52,2,6,2,0,4,1,1,0,1,45,1,2,60,5,26962.962890625,0,0,0,2704,10.2022194584916
4514390,1,4,25,3,6,2,1,4,1,1,0,1,48,1,2,6,5,6416.66650390625,0,0,0,625,8.76665402568256
4514391,1,1,53,1,3,2,0,4,2,1,1,0,48,1,84,144,1,,0,0,0,2809,
4514391,1,2,30,3,6,2,0,4,1,1,0,1,48,1,2,24,4,9722.22265625,0,0,0,900,9.18216953965234
4514392,1,1,42,1,5,2,1,4,1,1,0,1,72,1,57,84,3,,0,0,0,1764,
4514392,1,2,52,2,5,2,0,4,1,1,0,1,72,1,57,84,3,,0,0,0,2704,
4514395,1,2,41,2,6,2,1,3,2,1,1,0,40,1,39,56,1,,0,0,0,1681,
4514395,1,3,19,3,6,2,0,3,1,1,0,1,48,1,33,18,5,4131.9443359375,0,0,0,361,8.32650335869126
4514395,1,1,37,1,6,2,0,3,1,1,0,1,48,1,41,12,5,3586.12426757812,0,0,0,1369,8.18482730710011
4514395,1,4,18,3,6,2,0,3,1,1,0,1,48,1,41,37,3,4618.0556640625,0,0,0,324,8.43772904355823
4514396,1,1,53,1,4,2,0,3,2,1,1,0,20,1,57,30,1,,0,0,0,2809,
4514397,1,2,39,2,6,2,0,4,2,1,1,0,20,1,21,24,2,,0,0,0,1521,
4514397,1,1,41,1,6,2,1,4,1,1,0,1,48,1,44,84,5,24305.5546875,0,0,1300000,1681,10.0984601911694
4514398,1,1,58,1,5,2,0,4,1,1,0,1,36,1,51,240,3,,0,0,0,3364,
4514398,1,3,33,3,6,2,0,4,1,1,0,1,30,1,53,8,3,5055.5556640625,0,0,0,1089,8.52824304906573
4514398,1,2,51,2,5,2,1,4,2,1,0,0,56,1,53,240,3,,0,0,0,2601,
4514401,1,1,59,1,6,2,1,3,2,1,1,0,30,1,84,240,1,,0,0,0,3481,
4514402,1,2,49,2,5,2,1,2,2,3,1,0,70,1,81,120,1,,0,0,0,2401,
4514402,1,1,53,1,5,2,0,2,1,1,0,1,48,1,55,24,5,3586.12426757812,0,0,0,2809,8.18482730710011
4514403,1,1,60,1,3,2,0,3,2,1,0,0,45,1,54,240,1,3825.19921875,0,0,0,3600,8.24936582823768
4514404,1,3,27,3,6,1,1,2,2,3,1,0,5,1,3,36,1,,0,0,0,729,
4514404,1,2,43,3,6,2,0,2,1,2,0,1,30,1,13,32,5,12460,0,0,0,1849,9.43027879234144
4514404,1,1,62,1,5,2,0,2,2,3,0,0,48,1,92,240,3,3791.66674804688,0,0,0,3844,8.24056097661395
4514405,1,1,47,1,5,2,1,2,2,1,0,0,60,1,98,48,3,12444.4443359375,0,0,0,2209,9.4290295642217
4514406,1,2,18,3,6,2,1,3,2,1,0,0,15,1,53,0,2,4666.66650390625,0,0,0,324,8.44820028505205
4514406,1,1,44,1,6,2,0,3,1,1,0,1,10,1,37,5,3,16333.3330078125,0,0,7e+05,1936,9.70096326849481
4514408,1,4,40,4,6,2,0,3,1,1,0,1,40,1,6,48,5,,0,0,0,1600,
4514409,1,1,42,1,5,2,0,2,2,1,1,0,40,1,57,36,1,,0,0,0,1764,
4514409,1,2,23,3,5,2,1,2,2,,0,0,80,1,37,3,2,2333.33325195312,0,0,0,529,7.75505310449211
4514410,1,2,38,2,4,2,1,3,1,1,0,1,84,1,58,42,5,8055.5556640625,0,0,0,1444,8.99411727697637
4514411,1,3,22,3,5,2,1,3,1,1,0,1,48,1,38,24,5,3586.12426757812,0,0,0,484,8.18482730710011
4514411,1,4,21,3,5,2,0,3,1,1,0,1,48,1,6,7,2,3586.12426757812,0,0,0,441,8.18482730710011
4514411,1,1,47,1,5,2,1,3,1,1,0,1,48,1,85,48,4,3586.12426757812,0,0,0,2209,8.18482730710011
4514411,1,2,50,2,5,2,0,3,1,1,0,1,48,1,55,120,5,3586.12426757812,0,0,0,2500,8.18482730710011
4514412,1,1,35,1,6,2,1,3,1,1,0,1,50,1,3,144,5,6066.66650390625,0,0,0,1225,8.71056455756814
4514412,1,2,37,2,6,2,0,3,1,1,0,1,40,1,54,36,5,4303.34912109375,0,0,0,1369,8.36714886389406
4514413,1,3,24,4,6,2,0,2,1,1,0,1,45,1,21,12,5,4666.66650390625,0,0,0,576,8.44820028505205
4514413,1,2,47,3,4,2,0,2,2,3,0,0,36,1,54,96,1,1944.44445800781,0,0,0,2209,7.57273158955083
4514414,1,1,43,1,5,2,1,2,2,3,1,0,70,1,98,60,1,,0,0,3e+05,1849,
4514415,1,3,19,9,5,2,1,3,2,1,1,0,48,1,84,14,3,,0,0,0,361,
4514415,1,2,18,3,6,2,1,3,1,1,0,1,48,1,70,72,4,4861.111328125,0,0,0,324,8.4890223590924
4514415,1,1,46,1,5,2,0,3,2,1,0,0,40,1,54,2,1,2100,0,0,0,2116,7.64969262371151
4514416,1,2,57,2,5,2,0,2,1,1,0,1,48,1,55,36,5,3791.66674804688,0,0,0,3249,8.24056097661395
4514416,1,3,24,3,5,2,1,2,2,3,0,0,16,1,58,24,2,8750,0,0,0,576,9.07680897935166
4514416,1,6,24,9,4,2,1,2,1,1,0,1,48,1,58,11,3,,0,0,0,576,
4514416,1,5,20,3,6,2,0,2,1,1,0,1,48,1,33,7,4,3586.12426757812,0,0,0,400,8.18482730710011
4514417,1,1,42,1,6,2,0,3,3,2,1,1,8,1,13,10,5,,0,0,2e+05,1764,
4514418,1,1,57,1,4,2,0,2,3,1,1,1,32,1,57,120,1,,0,820000,0,3249,
4514419,1,3,42,3,4,2,1,2,2,3,0,0,50,1,93,18,2,3442.67944335938,0,0,0,1764,8.14400535512938
4514420,1,2,25,3,5,2,1,2,1,1,0,1,48,1,37,30,5,5347.22216796875,0,0,0,625,8.58433248410776
4514421,1,2,58,2,6,2,0,3,1,2,0,1,30,1,13,132,5,15555.5556640625,0,0,0,3364,9.65217313123067
4514422,1,1,46,1,5,2,1,2,1,1,0,1,50,1,39,72,4,9800,0,0,0,2116,9.19013766465866
4514423,1,1,54,1,4,2,1,2,2,3,1,0,5,1,85,240,1,,0,0,0,2916,
4514423,1,3,25,3,5,2,1,2,1,1,0,1,48,1,45,1,5,4618.0556640625,0,0,0,625,8.43772904355823
4514424,1,1,31,1,6,2,0,3,1,1,0,1,48,1,6,24,5,9722.22265625,0,0,0,961,9.18216953965234
4514428,1,2,23,2,6,2,0,3,1,1,0,1,45,1,2,12,5,7259.25927734375,0,0,0,529,8.89003307469956
4514428,1,1,25,1,6,2,1,3,1,1,0,1,40,1,39,3,3,4666.66650390625,0,0,0,625,8.44820028505205
4514429,1,1,26,1,5,2,1,2,2,3,0,0,48,1,77,24,2,5833.33349609375,0,0,0,676,8.67134389914528
4514430,1,1,31,1,6,2,1,3,1,1,0,1,48,1,11,36,2,,0,0,0,961,
4514430,1,2,35,2,6,2,0,3,1,1,0,1,48,1,21,84,5,19765.27734375,0,0,0,1225,9.89168200769659
4514431,1,1,52,1,4,2,1,2,1,1,0,1,48,1,58,96,5,4861.111328125,0,0,0,2704,8.4890223590924
4514431,1,2,51,2,4,2,0,2,1,1,0,1,48,1,55,24,5,3586.12426757812,0,0,0,2601,8.18482730710011
4514433,1,2,49,2,5,2,0,2,2,3,1,0,48,1,79,24,2,,0,0,0,2401,
4514433,1,1,60,1,5,2,1,2,1,1,0,1,54,1,93,12,5,6049.3828125,0,0,0,3600,8.70771153135825
4514434,1,1,30,1,5,2,1,3,1,1,0,1,48,1,58,84,3,5541.66650390625,83333.3333333333,0,0,900,8.62005054748564
4514434,1,2,60,5,4,2,0,3,2,3,1,0,84,1,41,48,1,,0,0,0,3600,
4514434,2,1,32,1,4,2,1,3,2,,0,0,84,1,77,1,2,2500,0,0,0,1024,7.82404601085629
4514434,4,1,27,1,3,2,1,3,1,1,0,1,48,1,58,1,3,5541.66650390625,0,0,0,729,8.62005054748564
4514435,1,1,52,1,5,2,1,3,2,,1,0,70,1,79,360,2,,0,0,0,2704,
4514435,1,2,48,2,5,2,0,3,2,,1,0,70,1,79,390,2,,0,0,0,2304,
4514435,1,3,21,3,6,2,1,3,1,1,0,1,48,1,19,11,5,3586.12426757812,0,0,0,441,8.18482730710011
4514436,1,1,30,1,6,2,1,2,1,1,0,1,48,1,15,0,5,4861.111328125,0,0,0,900,8.4890223590924
4514437,1,1,55,1,5,2,1,2,2,1,1,0,48,1,98,6,1,,0,0,0,3025,
4514438,1,3,27,3,6,2,1,3,1,1,0,1,45,1,8,48,5,14000,0,0,0,729,9.5468126085974
4514438,1,1,59,1,3,2,1,3,1,1,0,1,48,1,45,336,5,4861.111328125,0,0,0,3481,8.4890223590924
4514438,1,2,57,2,3,2,0,3,1,1,0,1,40,1,54,12,1,7000,0,0,0,3249,8.85366542803745
4514439,1,2,61,2,3,2,0,3,2,3,1,0,48,1,55,60,1,,0,0,0,3721,
4514439,1,1,52,1,3,2,1,3,2,3,1,0,48,1,61,78,1,,0,0,0,2704,
4514440,1,1,43,1,5,2,1,3,2,1,0,0,65,1,84,24,2,2871.794921875,0,0,0,1849,7.9626925215862
4514442,1,1,42,1,6,2,1,2,1,1,0,1,48,1,58,43,5,5833.33349609375,0,0,0,1764,8.67134389914528
4514444,1,1,50,1,6,2,0,3,2,3,1,0,28,1,44,24,1,,0,0,0,2500,
4514446,1,2,26,3,6,2,0,4,2,1,0,0,60,1,45,7,2,11666.6669921875,0,0,0,676,9.36449107970523
4514446,1,1,48,1,4,2,0,4,2,1,0,0,60,1,41,7,2,,0,0,1e+06,2304,
4514447,1,1,36,1,5,2,1,3,2,3,1,0,70,1,84,24,2,,0,0,0,1296,
4514448,1,3,22,4,5,2,1,2,1,1,0,1,48,1,58,13,4,3586.12426757812,0,0,0,484,8.18482730710011
4514449,1,4,44,3,6,2,1,3,1,1,0,1,50,1,21,13,4,,0,0,0,1936,
4514449,1,5,41,3,6,2,0,3,1,1,0,1,48,1,39,120,5,14583.3330078125,0,0,0,1681,9.58763458079622
4514450,1,1,73,1,3,2,1,2,2,1,0,0,60,1,45,12,2,,0,0,0,5329,
4514450,1,3,44,3,5,2,0,2,1,1,0,1,48,1,90,144,5,4375,0,0,0,1936,8.38366179879172
4514450,1,4,21,4,6,2,1,2,1,1,0,1,48,1,55,12,5,5833.33349609375,0,0,0,441,8.67134389914528
4514450,1,5,19,4,5,2,1,2,1,2,0,1,48,1,58,11,5,2430.5556640625,0,0,0,361,7.79587517853245
4514450,1,8,37,9,5,2,1,2,2,1,1,0,60,1,37,4,1,,0,0,0,1369,
