directorio,secuencia_p,orden,age,parentesco,p6210,other_job,sex,estrato1,cotPension,regSalud,cuentaPropia,formal,hoursWorkUsual,ocu,oficio,firm_time,sizeFirm,wage,iof1,iof2,iof6,age2,ln_wage
4572231,1,2,29,2,6,2,0,6,1,1,0,1,48,1,9,2,5,21875,0,0,0,841,9.99309971122582
4572231,1,1,27,1,6,2,1,6,1,1,1,1,77,1,17,1,1,,0,0,0,729,
4572233,1,1,25,1,4,2,1,3,2,3,1,0,20,1,59,1,1,,0,0,0,625,
4572235,1,1,26,1,5,2,1,3,1,1,0,1,48,1,39,9,5,3797.7041015625,0,0,0,676,8.24215197932255
4572235,1,2,24,2,5,2,0,3,2,1,0,0,40,1,59,1,2,,0,0,0,576,
4572236,1,1,52,1,6,2,1,3,1,1,0,1,40,1,39,72,5,9916.6669921875,0,0,0,2704,9.2019721551313
4572237,1,2,58,2,3,2,1,3,2,,1,0,50,1,98,8,1,,0,0,0,3364,
4572237,1,4,29,9,6,2,0,3,1,1,0,1,45,1,11,13,5,,0,0,0,841,
4572237,1,5,36,3,6,2,0,3,1,1,0,1,43,1,19,18,5,18992.248046875,0,0,0,1296,9.85178617736204
4572237,2,1,22,1,6,2,0,3,1,1,0,1,42,1,7,24,5,10000,0,0,0,484,9.21034037197618
4572239,1,1,35,1,6,2,1,2,1,2,0,1,80,1,58,204,5,10047.9169921875,0,0,0,1225,9.21512062754602
4572239,1,2,35,2,6,2,0,2,1,1,0,1,20,1,11,14,3,9566.6669921875,0,0,0,1225,9.16604014710617
4572240,1,1,43,1,6,2,0,2,1,2,0,1,40,1,39,267,5,7513.33349609375,0,0,0,1849,8.92443452058853
4572241,1,1,29,1,6,2,0,3,1,1,0,1,40,1,33,46,5,8750,0,3e+05,0,841,9.07680897935166
4572242,1,2,34,2,6,2,0,3,1,1,0,1,44,1,13,39,5,29166.666015625,0,0,0,1156,10.2807817613562
4572242,1,1,38,1,6,2,1,3,1,1,0,1,44,1,13,9,5,21212.12109375,0,0,0,1444,9.9623280469787
4572243,1,1,69,1,3,2,1,3,2,3,1,0,96,1,84,72,1,,0,0,0,4761,
4572244,1,1,61,1,3,2,1,3,1,1,1,1,40,1,44,480,1,,0,0,0,3721,
4572244,1,2,40,2,6,2,0,3,2,1,1,0,20,1,57,144,1,,0,0,0,1600,
4572246,1,3,49,6,3,2,0,4,1,1,0,1,48,1,54,0,1,3888.88891601562,0,0,0,2401,8.26587877011078
4572247,1,2,57,2,3,2,0,2,2,1,1,0,48,1,54,420,1,,0,0,0,3249,
4572247,1,3,33,3,6,2,1,2,1,1,0,1,60,1,2,24,3,,0,0,0,1089,
4572249,1,1,55,1,6,2,1,4,1,1,0,1,48,1,2,120,5,48611.109375,0,0,0,3025,10.7916073717293
4572249,1,2,50,2,6,2,0,4,1,1,1,1,22,1,6,156,1,,0,0,0,2500,
4572250,1,1,59,1,3,2,1,2,1,1,0,1,50,1,93,240,4,,0,0,0,3481,
4572250,1,2,34,2,3,2,0,2,1,1,0,1,48,1,55,12,5,3797.7041015625,0,0,0,1156,8.24215197932255
4572251,1,1,45,1,4,2,1,2,1,1,1,1,54,1,84,180,1,,0,0,0,2025,
4572252,1,1,56,1,6,2,1,2,1,1,0,1,40,1,19,360,5,14583.3330078125,0,0,0,3136,9.58763458079622
4572253,1,1,30,1,6,2,1,3,1,1,1,1,48,1,3,10,5,,0,0,0,900,
4572253,1,3,32,5,6,2,1,3,1,2,0,1,36,1,13,1,5,11666.6669921875,0,0,0,1024,9.36449107970523
4572254,1,2,33,2,5,2,1,2,1,1,0,1,48,1,21,72,5,8263.888671875,0,0,0,1089,9.01965053925121
4572254,1,1,32,1,6,2,0,2,1,1,0,1,48,1,38,4,5,4618.0556640625,0,0,0,1024,8.43772904355823
4572255,1,1,64,1,6,2,0,4,3,1,1,1,10,1,36,12,2,,0,2e+06,225000,4096,
4572255,1,2,40,3,6,2,0,4,1,1,0,1,48,1,21,60,5,34027.77734375,0,0,0,1600,10.4349324507498
4572256,1,1,37,1,5,2,1,3,1,1,0,1,48,1,58,144,5,9722.22265625,0,0,0,1369,9.18216953965234
4572256,1,3,49,5,6,2,1,3,1,1,0,1,48,1,45,60,5,9722.22265625,0,0,0,2401,9.18216953965234
4572256,1,4,44,5,5,2,0,3,2,3,1,0,50,1,57,12,1,,0,0,0,1936,
4572256,1,2,50,5,3,2,1,3,1,1,1,1,80,1,98,60,1,,0,0,0,2500,
4572257,1,1,60,1,6,2,0,4,3,2,1,1,20,1,9,24,3,,0,1800000,0,3600,
4572258,1,4,26,5,6,2,1,4,2,1,0,0,7,1,54,24,2,10000,0,0,0,676,9.21034037197618
4572259,1,1,30,1,5,2,1,2,2,1,0,0,48,1,45,18,2,5833.33349609375,0,0,0,900,8.67134389914528
4572260,1,2,60,2,5,2,0,2,1,1,0,1,48,1,55,216,5,5104.16650390625,0,0,0,3600,8.53781244673122
4572260,1,1,56,1,5,2,1,2,1,1,0,1,50,1,58,9,5,4666.66650390625,0,0,0,3136,8.44820028505205
4572260,1,3,34,3,6,2,1,2,1,1,0,1,48,1,45,42,5,7291.66650390625,0,0,0,1156,8.89448740023628
4572262,1,2,35,3,6,2,1,2,1,1,0,1,40,1,16,22,5,15166.6669921875,0,0,0,1225,9.62685533773384
4572262,1,1,55,1,4,2,0,2,2,1,0,0,70,1,57,6,2,,0,0,0,3025,
4572263,1,2,32,2,6,2,1,3,1,1,0,1,48,1,39,9,5,8361.111328125,0,0,0,1024,9.03134663123005
4572263,1,1,35,1,6,2,1,3,1,1,0,1,48,1,3,12,4,12152.77734375,0,0,0,1225,9.40531301060941
4572265,1,2,58,2,5,2,1,4,1,1,0,1,48,1,58,60,5,5347.22216796875,0,0,0,3364,8.58433248410776
4572265,1,1,56,1,6,2,0,4,1,1,0,1,48,1,59,360,5,7291.66650390625,0,0,1e+06,3136,8.89448740023628
4572265,1,3,24,3,6,2,1,4,1,1,0,1,45,1,12,17,5,12444.4443359375,0,0,0,576,9.4290295642217
4572267,1,3,21,3,6,2,1,3,1,1,0,1,48,1,38,10,5,4375,0,0,0,441,8.38366179879172
4572268,1,1,34,1,6,2,1,2,1,1,0,1,48,1,11,5,5,5833.33349609375,0,0,0,1156,8.67134389914528
4572268,1,2,32,2,5,2,0,2,1,1,0,1,48,1,39,11,5,4569.4443359375,0,0,0,1024,8.42714688698525
4572268,1,4,31,5,6,2,1,2,1,1,0,1,98,1,58,134,5,4523.8095703125,0,0,0,961,8.41710974313886
4572269,1,1,48,1,3,2,1,2,2,3,0,0,60,1,57,316,3,,0,0,0,2304,
4572269,1,2,55,2,3,2,0,2,2,3,0,0,1,1,55,240,3,14000,0,0,0,3025,9.5468126085974
4572270,1,1,80,1,5,2,0,6,2,1,1,0,12,1,44,360,1,,0,0,6e+06,6400,
4572271,1,1,31,1,5,2,1,3,1,2,0,1,50,1,39,108,5,,0,0,0,961,
4572271,1,2,29,2,6,2,0,3,1,1,0,1,48,1,30,1,5,,0,0,0,841,
4572272,1,1,24,1,5,2,1,2,2,3,0,0,70,1,51,24,3,3666.66674804688,0,0,0,576,8.207038285307
4572273,1,1,53,1,6,2,0,4,1,1,0,1,50,1,17,90,5,,0,0,0,2809,
4572274,1,1,38,1,6,2,1,4,1,1,0,1,54,1,2,120,5,,0,0,0,1444,
4572274,1,2,39,2,6,2,0,4,1,1,0,1,40,1,13,80,5,,0,0,0,1521,
4572275,1,1,59,1,4,2,1,2,1,1,0,1,48,1,95,180,5,4618.0556640625,0,0,0,3481,8.43772904355823
4572276,1,1,22,1,6,2,1,3,1,1,0,1,48,1,38,5,5,4375,0,0,0,484,8.38366179879172
4572276,1,2,21,9,6,2,0,3,1,1,0,1,42,1,38,12,5,4722.22216796875,0,0,0,441,8.46003476608732
4572278,1,1,51,1,6,2,1,4,1,1,0,1,72,1,11,216,2,,0,0,0,2601,
4572279,1,3,24,4,6,2,0,4,1,1,0,1,48,1,21,12,5,10694.4443359375,0,0,0,576,9.27747966466771
4572281,1,1,33,1,6,2,1,4,1,1,0,1,48,1,2,48,5,33055.5546875,0,0,0,1089,10.4059449003711
4572281,1,2,27,2,6,2,0,4,1,1,1,1,40,1,16,4,1,,0,0,0,729,
4572282,1,1,42,1,6,2,0,3,1,1,0,1,48,1,42,48,5,18472.22265625,0,0,0,1764,9.82402340467812
4572283,1,1,57,1,6,2,1,4,1,1,0,1,48,1,21,300,4,34027.77734375,0,0,0,3249,10.4349324507498
4572283,1,2,55,2,6,2,0,4,3,1,1,1,25,1,42,120,1,,0,1100000,0,3025,
4572283,1,4,25,3,6,2,0,4,1,1,0,1,48,1,2,24,4,13611.111328125,0,0,0,625,9.51864174757458
4572283,1,3,27,3,6,2,1,4,1,1,0,1,48,1,2,60,4,9722.22265625,0,0,0,729,9.18216953965234
4572284,1,1,35,1,6,2,0,3,1,1,0,1,40,1,21,18,5,8750,0,0,0,1225,9.07680897935166
4572284,1,2,46,5,5,2,1,3,2,1,1,0,40,1,41,24,1,,0,0,0,2116,
4572285,1,1,39,1,6,2,1,6,1,1,0,1,40,1,21,180,5,64166.66796875,0,0,0,1521,11.0692391643341
4572286,1,2,35,2,6,2,0,3,1,1,0,1,45,1,11,132,5,15555.5556640625,0,0,0,1225,9.65217313123067
4572286,1,1,43,1,3,2,1,3,2,1,0,0,50,1,41,120,2,,0,0,0,1849,
4572287,1,1,26,1,6,2,1,3,1,1,1,1,40,1,8,1,5,,0,0,0,676,
4572289,1,2,42,3,5,2,1,2,1,1,0,1,72,1,58,6,2,2916.66674804688,0,0,0,1764,7.97819671858534
4572290,1,4,22,3,5,2,0,2,2,3,0,0,8,1,45,6,2,,0,0,0,484,
4572290,1,2,54,2,3,2,0,2,2,1,0,0,80,1,45,60,2,,0,0,0,2916,
4572290,1,1,54,1,3,2,1,2,2,1,1,0,112,1,41,60,2,,0,0,0,2916,
4572290,1,5,34,9,5,2,1,2,2,3,1,0,30,1,59,36,1,,0,0,0,1156,
4572290,1,3,32,3,6,2,1,2,1,1,0,1,40,1,33,9,5,9333.3330078125,0,0,0,1024,9.141347465612
4572291,1,1,43,1,5,2,0,2,1,1,0,1,40,1,39,240,5,8458.3330078125,0,0,350000,1849,9.04290738919076
4572291,1,4,59,5,3,1,0,2,2,1,1,0,14,1,55,2,1,,0,0,0,3481,
4572291,1,5,21,5,5,2,1,2,2,,0,0,50,1,58,0,2,816.666687011719,0,0,0,441,6.70523103978297
4572292,1,1,39,1,4,2,0,2,2,3,1,0,56,1,41,192,1,,0,0,0,1521,
4572293,1,1,32,1,6,1,0,3,1,1,0,1,48,1,39,36,5,7291.66650390625,0,0,0,1024,8.89448740023628
4572294,1,2,44,9,6,2,1,2,2,,0,0,60,1,87,1,2,1866.66662597656,0,0,0,1936,7.53190956625686
4572294,1,1,38,1,5,2,1,2,2,,0,0,48,1,95,1,3,5833.33349609375,0,0,0,1444,8.67134389914528
4572295,1,2,19,3,5,2,1,1,2,,1,0,56,1,41,3,1,,0,0,0,361,
4572295,1,6,25,9,6,2,0,1,2,,1,0,56,1,45,1,1,,0,0,0,625,
4572295,1,4,20,9,5,1,1,1,2,,1,0,36,1,41,2,2,,0,0,0,400,
4572295,1,7,50,9,6,2,1,1,1,1,0,1,48,1,87,1,4,3797.7041015625,0,0,0,2500,8.24215197932255
4572299,1,1,59,1,3,2,1,2,2,3,1,0,60,1,45,360,1,,0,0,350000,3481,
4572300,1,1,22,1,6,2,1,2,2,,0,0,66,1,53,7,3,2474.74755859375,0,0,0,484,7.81389367327301
4572300,1,3,26,9,6,2,1,2,2,,0,0,60,1,53,4,3,3422.22216796875,0,0,0,676,8.13804537577216
4572300,1,2,20,2,5,2,0,2,2,,0,0,34,1,53,5,4,1921.56860351562,0,0,0,400,7.56089711247223
4572300,1,4,22,9,6,2,1,2,2,,0,0,50,1,53,2,2,1866.66662597656,0,0,0,484,7.53190956625686
4572301,1,1,41,1,6,2,1,3,1,1,0,1,24,1,13,96,5,15555.5556640625,0,0,0,1681,9.65217313123067
4572302,1,1,31,1,6,2,0,4,2,1,0,0,50,1,12,72,5,49336,0,0,0,961,10.8064093166713
4572302,1,2,21,5,6,2,1,4,1,1,0,1,48,1,3,6,5,5833.33349609375,0,0,0,441,8.67134389914528
4572303,1,1,29,1,5,2,1,3,2,1,1,0,48,1,98,1,1,,0,0,0,841,
4572304,1,1,29,1,6,1,0,2,1,1,0,1,40,1,21,60,5,8750,0,0,0,841,9.07680897935166
4572306,1,1,26,1,6,2,0,4,1,1,1,1,48,1,31,24,5,,0,0,0,676,
4572307,1,1,21,1,6,2,0,4,1,1,0,1,40,1,45,6,5,,0,0,0,441,
4572308,1,1,28,1,6,2,0,3,1,1,0,1,48,1,45,60,5,3797.7041015625,0,0,0,784,8.24215197932255
4572309,1,1,55,1,3,2,0,2,2,3,0,0,40,1,53,48,3,4200,0,0,350000,3025,8.34283980427146
4572309,1,2,49,2,3,2,1,2,2,3,1,0,50,1,98,1,2,,0,0,0,2401,
4572312,1,3,24,3,6,2,1,3,2,1,1,0,60,1,41,72,2,,0,0,0,576,
4572312,1,1,42,1,6,2,1,3,1,1,0,1,60,1,45,240,2,,0,0,0,1764,
4572312,1,5,32,6,5,2,0,3,2,3,0,0,60,1,54,12,1,,0,0,0,1024,
4572312,1,2,41,2,5,2,0,3,2,1,1,0,60,1,39,36,2,,0,0,0,1681,
4572313,1,1,28,1,6,2,1,6,1,1,0,1,40,1,12,42,5,26250,0,0,0,784,10.1754212680198
4572313,1,2,20,5,6,2,0,6,2,1,0,0,40,1,44,3,5,8166.66650390625,0,0,0,400,9.00781608793486
4572314,1,1,41,1,6,2,1,2,2,,0,0,60,1,83,24,2,,0,0,0,1681,
4572314,1,2,46,2,5,2,0,2,2,,1,0,66,1,57,144,1,,0,0,0,2116,
4572315,1,1,48,1,6,2,0,4,1,1,1,1,60,1,19,18,1,,0,0,0,2304,
4572316,1,1,24,1,5,2,0,3,1,1,0,1,48,1,39,18,4,3888.88891601562,0,0,0,576,8.26587877011078
4572317,1,1,39,1,6,2,1,3,2,,1,0,42,1,45,48,1,,0,0,0,1521,
4572320,1,1,47,1,4,2,1,3,3,1,1,1,40,1,41,240,1,,0,687492,0,2209,
4572321,1,1,65,1,5,2,1,2,1,1,0,1,50,1,98,120,4,,0,0,0,4225,
4572321,1,3,42,3,6,2,1,2,1,1,0,1,48,1,11,48,4,,0,0,0,1764,
4572322,1,2,30,2,6,2,0,3,2,1,0,0,40,1,21,108,2,,0,0,0,900,
4572322,1,1,34,1,4,2,1,3,2,1,0,0,40,1,21,108,2,,0,0,0,1156,
4572323,1,3,24,4,6,2,0,3,1,1,0,1,48,1,51,12,5,3797.7041015625,0,0,0,576,8.24215197932255
4572324,1,1,32,1,6,2,0,3,1,1,0,1,48,1,45,12,5,12152.77734375,0,0,0,1024,9.40531301060941
4572325,1,1,54,1,5,2,1,3,1,2,0,1,50,1,58,372,5,12133.3330078125,0,0,0,2916,9.40371173812808
4572325,1,3,28,3,6,2,0,3,1,1,0,1,48,1,12,72,5,9722.22265625,0,0,0,784,9.18216953965234
4572326,1,1,47,1,6,2,0,3,1,1,0,1,48,1,39,156,5,145833.328125,0,0,0,2209,11.8902196603974
4572326,1,3,26,9,5,2,1,3,1,1,0,1,48,1,84,24,5,8750,0,0,0,676,9.07680897935166
4572327,1,3,28,3,6,2,0,3,1,1,1,1,48,1,19,12,5,,0,0,0,784,
4572328,1,1,53,1,5,2,0,3,2,1,1,0,50,1,57,120,1,,0,0,0,2809,
4572328,1,2,27,3,6,2,0,3,1,1,1,1,48,1,15,12,4,,0,0,0,729,
4572330,1,1,63,1,5,2,1,3,2,1,1,0,40,1,41,240,1,,0,0,0,3969,
4572335,1,1,52,1,5,2,1,3,1,1,1,1,60,1,84,216,4,,0,0,9e+05,2704,
4572335,1,2,48,2,5,2,0,3,2,1,0,0,60,1,54,36,1,,0,0,0,2304,
4572336,1,1,56,1,4,2,1,3,2,3,1,0,20,1,45,24,1,,0,0,0,3136,
4575660,1,1,27,1,4,2,0,2,2,,1,0,48,1,45,18,2,,0,0,0,729,
4575661,1,2,38,2,6,2,0,4,1,1,0,1,40,1,13,3,4,,0,0,0,1444,
4575661,1,1,38,1,6,2,1,4,1,1,0,1,48,1,13,120,4,,0,0,0,1444,
4575662,1,2,30,2,6,2,0,4,1,1,0,1,60,1,39,48,5,13611.111328125,0,0,8e+05,900,9.51864174757458
4575663,1,1,35,1,6,2,1,2,1,1,0,1,48,1,79,60,5,4861.111328125,0,0,0,1225,8.4890223590924
4577342,1,2,51,2,5,2,0,3,1,1,0,1,48,1,45,156,5,3797.7041015625,0,0,0,2601,8.24215197932255
4577342,1,3,26,3,6,2,0,3,1,1,0,1,48,1,39,48,5,4861.111328125,0,0,0,676,8.4890223590924
4577344,1,1,41,1,5,2,1,3,1,1,1,1,45,1,41,18,1,,0,0,0,1681,
4577344,1,2,27,2,6,2,0,3,2,1,0,0,36,1,44,6,2,5063.60546875,0,0,0,729,8.52983405177433
4577345,1,1,59,1,5,2,1,3,2,1,1,0,48,1,41,36,1,,0,0,0,3481,
4577345,1,2,60,2,6,2,0,3,2,1,1,0,48,1,11,204,1,,0,0,0,3600,
4577345,1,4,32,3,6,2,1,3,1,1,0,1,70,1,5,2,5,6666.66650390625,0,0,0,1024,8.80487523945396
4577346,1,1,48,1,5,2,1,3,2,,1,0,50,1,37,36,1,,0,0,6e+05,2304,
4577347,1,1,53,1,6,2,1,3,1,1,1,1,48,1,2,3,5,,0,0,0,2809,
4577347,1,2,53,2,6,2,0,3,1,1,0,1,50,1,11,12,5,11666.6669921875,0,0,0,2809,9.36449107970523
4577347,1,3,27,3,6,2,0,3,1,1,0,1,50,1,39,2,4,5600,0,0,0,729,8.63052187672324
4577348,1,1,53,1,3,2,1,1,2,3,1,0,40,1,95,2,1,,0,0,7e+05,2809,
4577348,1,3,21,3,5,2,1,1,2,3,1,0,50,1,95,2,1,,0,0,0,441,
4577349,1,1,37,1,5,2,1,1,2,1,1,0,60,1,59,180,1,,0,0,0,1369,
4577350,1,1,43,1,6,2,1,4,1,1,0,1,24,1,21,36,4,,0,0,0,1849,
4577350,1,2,40,2,6,2,0,4,1,1,0,1,48,1,21,72,5,24305.5546875,0,0,0,1600,10.0984601911694
4577351,1,1,30,1,3,2,1,3,2,3,0,0,48,1,45,12,2,2916.66674804688,0,0,0,900,7.97819671858534
4577351,1,2,37,2,3,2,0,3,2,3,0,0,48,1,54,7,1,2673.61108398438,0,0,0,1369,7.89118530354782
4577352,1,1,47,1,4,2,0,3,1,1,1,1,40,1,79,360,1,,0,0,0,2209,
4577352,1,2,19,3,6,2,1,3,2,1,0,0,30,1,37,10,5,4277.77783203125,0,0,0,361,8.36118895562229
4577353,1,1,46,1,5,2,0,3,2,,0,0,90,1,80,180,2,,0,0,0,2116,
4577354,1,1,55,1,6,2,1,3,3,2,1,1,50,1,41,120,2,,0,0,0,3025,
4577354,1,3,25,3,6,2,1,3,1,1,0,1,48,1,38,9,5,3797.7041015625,0,0,0,625,8.24215197932255
4577354,1,4,23,3,6,1,1,3,1,1,0,1,48,1,39,18,5,14583.3330078125,0,0,0,529,9.58763458079622
4577355,1,1,58,1,6,2,1,3,2,1,0,0,60,1,3,36,2,,0,0,0,3364,
4577355,1,3,25,3,6,2,1,3,1,1,1,1,60,1,39,18,5,,0,0,0,625,
4577355,1,4,28,3,6,2,0,3,1,1,0,1,48,1,39,36,5,8750,0,0,0,784,9.07680897935166
4577356,1,1,61,1,5,2,1,3,1,1,0,1,42,1,45,120,2,,0,0,0,3721,
4577356,1,2,54,2,6,2,0,3,2,1,0,0,30,1,97,120,2,,0,0,0,2916,
4577356,1,3,29,3,6,1,0,3,2,1,0,0,40,1,16,2,5,2916.66674804688,0,0,0,841,7.97819671858534
4577357,1,1,55,1,4,2,1,1,1,1,0,1,40,1,39,300,2,4557.2451171875,0,0,0,3025,8.42447357897409
4577357,1,3,24,3,6,2,1,1,1,1,0,1,48,1,45,48,4,3797.7041015625,0,0,0,576,8.24215197932255
4577358,1,1,61,1,5,2,1,4,2,1,1,0,35,1,45,180,1,,0,0,0,3721,
4577359,1,1,30,1,4,2,1,3,2,,1,0,40,1,45,3,1,,0,0,0,900,
4577360,1,1,23,1,5,2,1,1,2,3,1,0,30,1,79,1,2,,0,0,0,529,
4577360,1,2,23,2,5,2,0,1,2,3,0,0,30,1,79,1,2,,0,0,0,529,
4577361,1,1,41,1,5,1,1,3,2,,1,0,40,1,45,12,1,,2500000,0,0,1681,
4577361,1,2,35,2,6,2,0,3,2,1,1,0,48,1,59,32,5,,0,0,0,1225,
4577362,1,1,67,1,5,2,0,3,2,1,1,0,40,1,79,360,1,,0,0,0,4489,
4577362,1,2,20,5,6,2,0,3,1,1,0,1,48,1,39,3,4,6805.5556640625,0,0,0,400,8.82549456701463
4577363,1,2,56,2,5,2,0,4,2,1,0,0,30,1,53,12,2,,0,0,0,3136,
4577363,1,3,28,3,6,2,0,4,2,1,0,0,6,1,97,4,2,3888.88891601562,0,0,0,784,8.26587877011078
4577363,1,4,25,3,6,2,1,4,1,1,1,1,25,1,19,17,5,,0,0,0,625,
4577365,1,3,28,3,6,2,0,3,1,1,0,1,48,1,7,36,5,9722.22265625,0,0,0,784,9.18216953965234
4577366,1,1,38,1,5,1,1,1,2,,1,0,48,1,77,132,1,,0,0,0,1444,
4577366,1,2,45,2,3,2,0,1,2,3,0,0,12,1,53,132,2,,0,0,0,2025,
4577367,1,1,23,1,6,2,1,1,1,1,0,1,48,1,3,32,5,5672.91650390625,0,0,0,529,8.64345863906318
4577368,1,1,53,1,3,2,1,3,2,1,1,0,60,1,98,240,1,,0,0,0,2809,
4577368,1,3,22,3,5,2,1,3,1,1,0,1,48,1,37,48,4,3797.7041015625,0,0,0,484,8.24215197932255
4577370,1,1,59,1,6,2,1,4,1,1,0,1,48,1,21,120,2,,0,0,0,3481,
4577371,1,1,50,1,4,2,1,4,2,1,0,0,48,1,53,120,3,3888.88891601562,0,0,0,2500,8.26587877011078
4577371,1,5,72,5,3,2,0,4,3,1,0,1,48,1,51,240,3,,0,8e+05,0,5184,
4577372,1,1,19,1,6,2,1,3,1,1,0,1,48,1,3,7,5,3797.7041015625,0,0,0,361,8.24215197932255
4577372,1,2,23,5,6,2,1,3,1,1,0,1,48,1,3,18,5,5833.33349609375,0,0,0,529,8.67134389914528
4577373,1,2,31,9,5,2,0,3,2,,1,0,40,1,57,1,1,,0,0,0,961,
4577374,1,1,27,1,4,2,1,3,2,1,0,0,45,1,40,72,2,7777.77783203125,0,0,0,729,8.95902595067072
4577374,1,2,25,2,5,2,0,3,2,1,1,0,48,1,39,12,4,,0,0,0,625,
4577375,1,1,46,1,3,2,1,3,2,1,1,0,60,1,41,72,1,,0,0,0,2116,
4577375,1,2,45,2,3,2,0,3,2,1,1,0,40,1,54,96,1,,0,0,0,2025,
4577375,1,3,25,3,4,2,1,3,2,1,0,0,50,1,45,12,2,7000,0,0,0,625,8.85366542803745
4577376,1,1,43,1,6,2,1,4,1,1,0,1,40,1,21,84,5,,0,0,0,1849,
4577377,1,3,38,9,3,2,1,2,2,3,1,0,72,1,80,60,3,,0,0,0,1444,
4577378,1,1,25,1,3,2,1,2,2,1,0,0,60,1,95,24,4,3888.88891601562,0,0,0,625,8.26587877011078
4577378,1,2,33,2,5,2,0,2,1,1,0,1,40,1,13,30,4,4557.2451171875,0,0,0,1089,8.42447357897409
4577379,1,3,46,3,6,2,1,4,1,1,0,1,48,1,8,180,5,14583.3330078125,0,0,0,2116,9.58763458079622
4577380,1,1,41,1,6,2,1,3,1,1,0,1,48,1,21,48,5,,0,0,0,1681,
4577380,1,2,35,2,6,2,0,3,1,1,0,1,48,1,33,120,5,5347.22216796875,0,0,0,1225,8.58433248410776
4577381,1,1,51,1,6,2,1,4,1,1,0,1,40,1,21,240,5,15750,0,0,0,2601,9.66459564425378
4577382,1,1,24,1,5,2,1,2,2,,1,0,70,1,85,1,2,,0,0,0,576,
4577382,1,2,22,2,6,2,0,2,2,,0,0,63,1,45,12,2,3555.5556640625,0,0,0,484,8.17626663496322
4577383,1,1,30,1,5,2,1,2,2,1,0,0,56,1,45,24,2,3255.17504882812,0,0,0,900,8.08800133163848
4577383,1,2,22,2,6,2,0,2,1,1,0,1,48,1,45,8,4,3797.7041015625,0,0,0,484,8.24215197932255
4577384,1,2,53,3,4,2,0,3,2,1,1,0,40,1,54,36,1,,0,0,0,2809,
4577384,1,3,31,4,6,2,0,3,1,1,0,1,40,1,59,36,5,5250,0,0,0,961,8.56598335558567
4577386,1,1,35,1,6,2,1,3,1,1,0,1,48,1,3,48,5,9722.22265625,0,0,0,1225,9.18216953965234
4577387,1,2,55,2,6,2,0,4,2,1,0,0,48,1,51,60,3,,0,0,0,3025,
4577388,1,1,55,1,6,2,0,4,1,1,0,1,60,1,2,204,5,17500,0,0,0,3025,9.76995615991161
4577388,1,3,59,5,5,2,1,4,2,1,0,0,48,1,21,148,2,,0,0,0,3481,
4577389,1,1,61,1,6,2,1,4,1,1,0,1,50,1,21,60,5,47250,0,0,0,3721,10.7632079329219
4577391,1,3,36,3,5,2,1,2,2,3,1,0,84,1,41,96,1,,0,0,0,1296,
4577392,1,1,53,1,3,2,0,2,1,1,0,1,48,1,79,120,5,3797.7041015625,0,0,0,2809,8.24215197932255
4577392,1,3,23,3,6,2,0,2,1,1,0,1,24,1,59,48,5,6319.4443359375,0,0,0,529,8.7513865617467
4577393,1,1,42,1,3,2,0,1,1,1,0,1,40,1,54,26,1,4557.2451171875,0,0,0,1764,8.42447357897409
4577393,1,2,22,3,6,2,1,1,1,1,0,1,40,1,11,24,5,8166.66650390625,0,0,0,484,9.00781608793486
4577395,1,1,41,1,6,2,1,1,1,1,0,1,48,1,45,12,5,4861.111328125,0,0,0,1681,8.4890223590924
4577395,1,2,42,2,6,2,0,1,1,1,0,1,48,1,44,12,5,7777.77783203125,0,0,0,1764,8.95902595067072
4577396,1,1,44,1,5,2,0,2,1,1,0,1,48,1,45,132,4,3888.88891601562,0,0,0,1936,8.26587877011078
4577397,1,1,22,1,6,2,1,3,1,1,0,1,60,1,58,10,4,7000,0,0,0,484,8.85366542803745
4577397,1,2,34,5,5,2,0,3,1,1,0,1,72,1,85,12,5,3564.81469726562,0,0,0,1156,8.17886735317086
4577398,1,1,38,1,4,2,1,3,1,1,0,1,40,1,97,36,5,5763.240234375,0,0,0,1444,8.65925513621334
4577398,1,2,36,2,6,2,0,3,2,1,0,0,5,1,36,1,2,8400,0,0,0,1296,9.03598698483141
4577399,1,2,56,3,6,2,1,3,1,1,1,1,48,1,45,120,1,,0,0,0,3136,
4577400,1,1,32,1,5,2,0,2,1,1,0,1,48,1,39,40,5,3797.7041015625,0,0,0,1024,8.24215197932255
4577400,1,2,36,2,4,2,1,2,2,1,0,0,40,1,45,60,2,2333.33325195312,0,0,0,1296,7.75505310449211
4577401,1,1,25,1,4,2,1,2,1,1,0,1,48,1,58,10,5,3797.7041015625,0,0,0,625,8.24215197932255
4577401,1,2,34,2,5,2,0,2,1,1,0,1,48,1,58,13,3,3797.7041015625,0,0,0,1156,8.24215197932255
4577402,1,1,28,1,5,2,1,2,2,3,1,0,56,1,45,20,1,,0,0,0,784,
4577402,1,2,31,2,4,2,0,2,1,1,0,1,40,1,53,9,5,4557.466796875,0,0,0,961,8.42452222114504
4577404,1,1,65,1,3,2,1,3,2,,1,0,48,1,95,6,1,,0,0,0,4225,
4577404,1,2,57,9,3,1,0,3,2,,1,0,70,1,45,180,1,,0,0,0,3249,
4577405,1,1,36,1,6,2,0,3,1,1,0,1,48,1,38,6,4,3797.7041015625,0,0,0,1296,8.24215197932255
