directorio,secuencia_p,orden,age,parentesco,p6210,other_job,sex,estrato1,cotPension,regSalud,cuentaPropia,formal,hoursWorkUsual,ocu,oficio,firm_time,sizeFirm,wage,iof1,iof2,iof6
4514388,1,2,24,2,5,2,0,3,1,1,0,1,48,1,58,24,5,3796.52783203125,0,0,0
4514388,1,1,27,1,5,2,1,3,1,1,0,1,48,1,58,24,5,3796.52783203125,0,0,0
4514389,1,2,63,2,3,2,0,3,2,3,1,0,60,1,41,300,2,8919.66315269701,0,0,0
4514389,1,1,71,1,3,2,1,3,2,3,1,0,60,1,41,300,2,13841.3478385944,0,0,5e+05
4514390,1,1,52,1,6,2,1,4,1,1,0,1,45,1,2,174,5,38888.890625,0,0,2200000
4514390,1,2,52,2,6,2,0,4,1,1,0,1,45,1,2,60,5,26962.962890625,0,0,0
4514390,1,4,25,3,6,2,1,4,1,1,0,1,48,1,2,6,5,6416.66650390625,0,0,0
4514391,1,1,53,1,3,2,0,4,2,1,1,0,48,1,84,144,1,8393.94360710347,0,0,0
4514391,1,2,30,3,6,2,0,4,1,1,0,1,48,1,2,24,4,9722.22265625,0,0,0
4514392,1,1,42,1,5,2,1,4,1,1,0,1,72,1,57,84,3,12435.2408645165,0,0,0
4514392,1,2,52,2,5,2,0,4,1,1,0,1,72,1,57,84,3,10634.2770511943,0,0,0
4514395,1,2,41,2,6,2,1,3,2,1,1,0,40,1,39,56,1,9073.21754152136,0,0,0
4514395,1,3,19,3,6,2,0,3,1,1,0,1,48,1,33,18,5,4131.9443359375,0,0,0
4514395,1,1,37,1,6,2,0,3,1,1,0,1,48,1,41,12,5,3586.12426757812,0,0,0
4514395,1,4,18,3,6,2,0,3,1,1,0,1,48,1,41,37,3,4618.0556640625,0,0,0
4514396,1,1,53,1,4,2,0,3,2,1,1,0,20,1,57,30,1,8009.15651024483,0,0,0
4514397,1,2,39,2,6,2,0,4,2,1,1,0,20,1,21,24,2,15731.1507318871,0,0,0
4514397,1,1,41,1,6,2,1,4,1,1,0,1,48,1,44,84,5,24305.5546875,0,0,1300000
4514398,1,1,58,1,5,2,0,4,1,1,0,1,36,1,51,240,3,17270.1031087012,0,0,0
4514398,1,3,33,3,6,2,0,4,1,1,0,1,30,1,53,8,3,5055.5556640625,0,0,0
4514398,1,2,51,2,5,2,1,4,2,1,0,0,56,1,53,240,3,14954.2118925118,0,0,0
4514401,1,1,59,1,6,2,1,3,2,1,1,0,30,1,84,240,1,11146.8409490528,0,0,0
4514402,1,2,49,2,5,2,1,2,2,3,1,0,70,1,81,120,1,780.266632402477,0,0,0
4514402,1,1,53,1,5,2,0,2,1,1,0,1,48,1,55,24,5,3586.12426757812,0,0,0
4514403,1,1,60,1,3,2,0,3,2,1,0,0,45,1,54,240,1,3825.19921875,0,0,0
4514404,1,3,27,3,6,1,1,2,2,3,1,0,5,1,3,36,1,10401.8115731856,0,0,0
4514404,1,2,43,3,6,2,0,2,1,2,0,1,30,1,13,32,5,12460,0,0,0
4514404,1,1,62,1,5,2,0,2,2,3,0,0,48,1,92,240,3,3791.66674804688,0,0,0
4514405,1,1,47,1,5,2,1,2,2,1,0,0,60,1,98,48,3,12444.4443359375,0,0,0
4514406,1,2,18,3,6,2,1,3,2,1,0,0,15,1,53,0,2,4666.66650390625,0,0,0
4514406,1,1,44,1,6,2,0,3,1,1,0,1,10,1,37,5,3,16333.3330078125,0,0,7e+05
4514408,1,4,40,4,6,2,0,3,1,1,0,1,40,1,6,48,5,12881.3965910101,0,0,0
4514409,1,1,42,1,5,2,0,2,2,1,1,0,40,1,57,36,1,1577.09732955337,0,0,0
4514409,1,2,23,3,5,2,1,2,2,,0,0,80,1,37,3,2,2333.33325195312,0,0,0
4514410,1,2,38,2,4,2,1,3,1,1,0,1,84,1,58,42,5,8055.5556640625,0,0,0
4514411,1,3,22,3,5,2,1,3,1,1,0,1,48,1,38,24,5,3586.12426757812,0,0,0
4514411,1,4,21,3,5,2,0,3,1,1,0,1,48,1,6,7,2,3586.12426757812,0,0,0
4514411,1,1,47,1,5,2,1,3,1,1,0,1,48,1,85,48,4,3586.12426757812,0,0,0
4514411,1,2,50,2,5,2,0,3,1,1,0,1,48,1,55,120,5,3586.12426757812,0,0,0
4514412,1,1,35,1,6,2,1,3,1,1,0,1,50,1,3,144,5,6066.66650390625,0,0,0
4514412,1,2,37,2,6,2,0,3,1,1,0,1,40,1,54,36,5,4303.34912109375,0,0,0
4514413,1,3,24,4,6,2,0,2,1,1,0,1,45,1,21,12,5,4666.66650390625,0,0,0
4514413,1,2,47,3,4,2,0,2,2,3,0,0,36,1,54,96,1,1944.44445800781,0,0,0
4514414,1,1,43,1,5,2,1,2,2,3,1,0,70,1,98,60,1,845.684017587701,0,0,3e+05
4514415,1,3,19,9,5,2,1,3,2,1,1,0,48,1,84,14,3,3008.78821348213,0,0,0
4514415,1,2,18,3,6,2,1,3,1,1,0,1,48,1,70,72,4,4861.111328125,0,0,0
4514415,1,1,46,1,5,2,0,3,2,1,0,0,40,1,54,2,1,2100,0,0,0
4514416,1,2,57,2,5,2,0,2,1,1,0,1,48,1,55,36,5,3791.66674804688,0,0,0
4514416,1,3,24,3,5,2,1,2,2,3,0,0,16,1,58,24,2,8750,0,0,0
4514416,1,5,20,3,6,2,0,2,1,1,0,1,48,1,33,7,4,3586.12426757812,0,0,0
4514417,1,1,42,1,6,2,0,3,3,2,1,1,8,1,13,10,5,16392.38075036,0,0,2e+05
4514418,1,1,57,1,4,2,0,2,3,1,1,1,32,1,57,120,1,3215.48550081801,0,820000,0
4514419,1,3,42,3,4,2,1,2,2,3,0,0,50,1,93,18,2,3442.67944335938,0,0,0
4514420,1,2,25,3,5,2,1,2,1,1,0,1,48,1,37,30,5,5347.22216796875,0,0,0
4514421,1,2,58,2,6,2,0,3,1,2,0,1,30,1,13,132,5,15555.5556640625,0,0,0
4514422,1,1,46,1,5,2,1,2,1,1,0,1,50,1,39,72,4,9800,0,0,0
4514423,1,1,54,1,4,2,1,2,2,3,1,0,5,1,85,240,1,8687.56573217408,0,0,0
4514423,1,3,25,3,5,2,1,2,1,1,0,1,48,1,45,1,5,4618.0556640625,0,0,0
4514424,1,1,31,1,6,2,0,3,1,1,0,1,48,1,6,24,5,9722.22265625,0,0,0
4514428,1,2,23,2,6,2,0,3,1,1,0,1,45,1,2,12,5,7259.25927734375,0,0,0
4514428,1,1,25,1,6,2,1,3,1,1,0,1,40,1,39,3,3,4666.66650390625,0,0,0
4514429,1,1,26,1,5,2,1,2,2,3,0,0,48,1,77,24,2,5833.33349609375,0,0,0
4514430,1,1,31,1,6,2,1,3,1,1,0,1,48,1,11,36,2,11515.3292147049,0,0,0
4514430,1,2,35,2,6,2,0,3,1,1,0,1,48,1,21,84,5,19765.27734375,0,0,0
4514431,1,1,52,1,4,2,1,2,1,1,0,1,48,1,58,96,5,4861.111328125,0,0,0
4514431,1,2,51,2,4,2,0,2,1,1,0,1,48,1,55,24,5,3586.12426757812,0,0,0
4514433,1,2,49,2,5,2,0,2,2,3,1,0,48,1,79,24,2,1725.44558115657,0,0,0
4514433,1,1,60,1,5,2,1,2,1,1,0,1,54,1,93,12,5,6049.3828125,0,0,0
4514434,1,1,30,1,5,2,1,3,1,1,0,1,48,1,58,84,3,5541.66650390625,83333.3333333333,0,0
4514434,1,2,60,5,4,2,0,3,2,3,1,0,84,1,41,48,1,2641.67164830938,0,0,0
4514434,2,1,32,1,4,2,1,3,2,,0,0,84,1,77,1,2,2500,0,0,0
4514434,4,1,27,1,3,2,1,3,1,1,0,1,48,1,58,1,3,5541.66650390625,0,0,0
4514435,1,3,21,3,6,2,1,3,1,1,0,1,48,1,19,11,5,3586.12426757812,0,0,0
4514436,1,1,30,1,6,2,1,2,1,1,0,1,48,1,15,0,5,4861.111328125,0,0,0
4514437,1,1,55,1,5,2,1,2,2,1,1,0,48,1,98,6,1,665.165546280981,0,0,0
